year,N_active,N_active_lower,N_active_upper,N_ex_wr,N_ex_wnr,year_int
1972,NA,NA,NA,NA,NA,1
1973,388,NA,NA,10,9.712,2
1974,588,NA,NA,96,24.424,3
1975,905,NA,NA,216,47.0604,4
1976,1237,NA,NA,367,77.97498,5
1977,1581,NA,NA,545,117.503831,6
1978,1938,NA,NA,748,165.9662395,7
1979,2308,NA,NA,974,223.6655275,8
1980,2689,NA,NA,1222,290.8898511,9
1981,2507,NA,NA,1402,353.5565178,10
1982,2360,NA,NA,1532,412.5565178,11
1983,2440,NA,NA,1652,473.5565178,12
1984,3093,NA,NA,1852,550.8898511,13
1985,3560,NA,NA,2090,639.8898511,14
1986,3333,NA,NA,2255,723.2231844,15
1987,3478,NA,NA,2416,810.1676289,16
1988,3589,NA,NA,2568,899.8898511,17
1989,3900,NA,NA,2742,997.3791673,18
1990,4506,NA,NA,2979,1110.033488,19
1991,4853,NA,NA,3230,1231.370485,20
1992,5066,NA,NA,3473,1358.02831,21
1993,5444,NA,NA,3734,1494.139421,22
1994,5881,NA,NA,4019,1641.161753,23
1995,7236,NA,NA,4461,1822.051176,24
1996,7338,NA,NA,4848,2005.492735,25
1997,9006,NA,NA,5423,2230.632791,26
1998,9272,NA,NA,5946,2462.435512,27
1999,11483,NA,NA,6717,2749.510342,28
2000,11483,NA,NA,7617,3078.641994,29
2001,11483,NA,NA,8481,3425.683841,30
2002,11483,NA,NA,8960,3731.673425,31
2003,10937,NA,NA,9167,4005.098924,32
2004,8848,7595,10596,9027,4226.300156,33
2005,8884,7615,10660,8915,4448.392183,34
2006,8392,7193,10070,8748,4658.188861,35
2007,9018,7717,10848,8701,4883.648157,36
2008,9416,8044,11351,8721,5119.038718,37
2009,9212,7857,11131,8707,5349.330733,38
2010,8878,7572,10728,8646,5571.280555,39
2011,8482,7235,10249,8535,5783.332337,40
2012,8234,7024,9950,8405,5989.194236,41
2013,8386,7153,10133,8317,6198.836677,42
2014,8564,7305,10349,8271,6412.945011,43
2015,8743,7457,10565,8259,6631.528344,44
2016,8358,7129,10100,8192,6840.486677,45
2017,8331,7034,9924,8131,7048.761677,46
2018,8269,6946,9779,8070,7255.486677,47
2019,8476,7121,9357,8050,7467.374177,48
2020,NA,NA,NA,NA,NA,49
2021,7878,6719,8574,7918,7664.311677,50
